placeID,rating,food_rating,service_rating
135085,2,2,2
135038,2,2,1
132825,2,2,2
135060,1,2,2
135104,1,1,2
132740,0,0,0
132663,1,1,1
132732,0,0,0
132630,1,1,1
132584,2,2,2
132733,1,1,1
132732,1,2,2
132630,1,0,1
135104,0,0,0
132560,1,0,0
132584,1,2,1
132732,0,0,2
132630,1,2,0
132613,2,2,2
132667,1,2,2
135104,1,2,0
132663,1,0,2
132733,2,2,2
132660,2,2,1
132584,2,2,2
132733,2,2,2
135088,2,2,2
132583,1,2,1
132608,2,2,1
132609,1,1,1
132613,1,1,0
132663,0,0,0
132665,0,0,0
132668,0,0,0
132630,1,1,1
132715,0,0,0
132717,0,0,0
132613,0,0,0
132594,0,0,0
132608,0,0,0
132609,0,0,0
132663,0,0,0
132560,0,0,0
132564,2,2,2
132717,2,2,2
132733,2,1,2
132740,1,2,1
135071,0,0,0
132733,1,2,1
132608,1,2,1
135104,2,2,2
132584,1,2,0
132667,1,2,1
132740,1,1,1
132613,1,2,1
132594,1,1,1
132740,2,2,1
132626,2,2,2
132668,2,2,2
132715,2,2,1
134987,0,0,0
135034,2,2,2
132723,1,1,1
135046,2,2,1
135075,2,2,2
132572,1,2,1
135074,2,2,1
135028,1,1,1
135085,1,2,1
135032,2,1,2
135086,1,1,0
132723,2,2,2
135046,1,2,1
135058,1,1,1
135001,1,1,2
134983,2,2,2
134996,2,2,2
135019,2,2,2
134996,2,2,2
135001,2,2,2
134976,2,2,1
134999,2,2,2
135018,2,2,2
135013,2,2,1
134986,2,2,2
134986,2,2,2
135018,2,2,2
135088,1,0,1
132767,2,2,2
135016,0,0,0
135011,1,1,0
132767,0,0,0
135019,0,0,0
135109,0,0,0
134996,0,0,0
135011,1,2,2
134999,1,1,1
134975,2,2,2
135021,2,1,1
134987,2,0,2
134996,2,2,2
132768,1,1,1
135019,2,1,0
134975,2,1,1
134983,0,0,1
132767,1,2,1
135021,2,1,0
134996,2,1,1
135013,1,2,2
135000,2,1,1
135001,2,2,2
132768,2,2,2
134976,2,2,1
134983,1,1,1
134986,2,2,2
132766,1,1,0
132767,0,0,0
135021,2,2,2
135001,2,2,2
134975,1,1,1
134992,1,2,1
135019,1,2,0
134987,0,0,0
135016,1,2,2
132773,2,1,2
135088,0,1,0
132561,1,1,1
132706,0,2,0
132654,0,0,0
132665,2,2,2
132740,0,0,0
132733,2,2,2
132668,1,1,1
132660,2,2,2
132733,1,1,1
132608,2,2,2
132660,2,2,2
132584,2,1,1
132609,1,0,1
135104,1,2,1
132667,1,2,1
132564,1,1,1
132715,1,1,1
132732,0,0,0
132733,0,0,0
135011,2,1,2
134987,2,2,2
134976,2,2,2
135018,1,1,1
132766,0,0,1
135088,1,1,2
135016,2,2,1
132773,1,2,2
135000,1,1,1
132583,0,0,0
132768,0,0,0
135021,2,0,0
134983,0,0,0
135001,0,0,0
134992,0,0,0
135088,1,2,0
132768,2,2,2
134996,1,1,1
135109,2,2,1
135088,1,1,1
135109,1,1,1
132768,1,2,1
135051,1,2,2
135075,2,2,2
132572,2,2,2
135028,2,2,2
135025,2,2,2
132572,2,2,2
135049,0,0,0
135106,2,2,2
135072,1,2,2
135074,2,2,2
132755,2,2,2
135044,1,2,2
135048,2,2,2
135047,2,2,2
132754,2,2,2
132825,2,2,2
135076,1,1,1
135032,2,2,1
132825,1,2,0
135063,2,1,2
135018,1,2,1
132773,2,1,2
135042,2,1,2
135053,2,2,0
132754,1,2,1
132583,1,0,2
135081,2,2,1
135025,2,1,2
135038,2,1,2
135060,2,2,1
135062,2,1,1
135047,2,2,2
135042,1,2,1
135069,1,0,1
135057,1,1,2
135076,1,2,2
135043,0,0,1
135069,0,0,1
135039,0,0,0
135060,1,0,1
135052,2,0,2
132825,1,0,1
135032,0,1,1
135028,1,2,2
135085,1,2,1
135052,0,1,1
135030,1,1,1
135027,0,1,1
132830,1,1,1
132825,2,2,1
135076,1,2,1
132830,0,2,2
135108,2,2,2
135069,1,0,1
135050,2,2,2
135057,1,2,2
135081,2,1,1
135057,1,0,2
135070,2,2,2
135041,2,2,2
135069,1,2,2
135082,2,2,2
135043,1,0,0
135042,1,1,0
135071,0,0,0
135054,2,2,2
135070,2,2,1
135066,2,1,2
135032,2,2,2
135081,1,2,2
135051,2,1,2
132830,2,2,1
135082,0,0,0
135066,2,2,2
135050,0,0,0
135076,2,2,2
135081,2,2,2
135062,2,2,2
135027,2,2,2
135085,2,2,2
135052,2,2,2
132825,2,2,2
135051,2,2,2
135047,1,1,1
135026,0,0,0
135044,1,1,1
132825,1,2,1
135059,2,1,0
135065,2,2,2
135046,2,1,1
135085,2,1,2
135079,1,1,2
135055,2,2,2
132754,2,1,1
132572,0,0,0
135075,2,1,1
135080,1,1,1
135064,2,2,2
135074,2,2,2
135041,1,1,1
135069,0,0,0
135032,0,0,0
135057,2,2,2
132830,0,0,0
135028,2,1,0
135040,0,0,0
135106,2,2,2
135052,2,1,1
135041,2,1,1
135038,1,0,1
135054,1,2,1
135108,2,2,1
134986,2,2,2
135054,1,1,1
132768,2,2,2
135108,1,1,1
135032,1,1,1
